Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
5/27/1994,Mike Rheinberger,Australia,Fall,"27.9882° N, 86.9254° E",1
5/18/1994,Giuseppe Vigani,Italy,Fall,"27.9882° N, 86.9254° E",1
5/9/1994,Shih Fang-Fang 'Norman',Taiwan,Exhaustion,"27.9882° N, 86.9254° E",1
4/6/1994,Prem Thapa,Nepal,Cerebral oedema,"27.9882° N, 86.9254° E",1
10/7/1993,Antonio Miranda,Spain,Fall,"27.9882° N, 86.9254° E",1
10/5/1993,Karl Henize,United States,HAPE,"27.9882° N, 86.9254° E",1
5/17/1993,A Jin-seob,South Korea,Fall,"27.9882° N, 86.9254° E",1
5/16/1993,Nam Won-woo,South Korea,Fall,"27.9882° N, 86.9254° E",1
5/10/1993,Lobsang Tshering Bhutia,Nepal,Fall,"27.9882° N, 86.9254° E",1
4/23/1993,Sonam Tshering,Nepal,Disappearance,"27.9882° N, 86.9254° E",1
4/23/1993,Pasang Lhamu Sherpa,Nepal,Disappearance,"27.9882° N, 86.9254° E",1
1/15/1993,Ang Tshering,Nepal,Fall,"27.9882° N, 86.9254° E",1
5/23/1992,Manabu Hoshi,Japan,Disappearance,"27.9882° N, 86.9254° E",1
5/23/1992,Sher Singh,India,Fall,"27.9882° N, 86.9254° E",1
5/11/1992,Subba Singh,Nepal,Heart attack,"27.9882° N, 86.9254° E",1
5/2/1992,Raymond Jacob,India,Exposure,"27.9882° N, 86.9254° E",1
5/2/1992,Deepak Kulkarni,India,Exposure,"27.9882° N, 86.9254° E",1
5/27/1991,Junichi Futagami,Japan,Fall,"27.9882° N, 86.9254° E",1
5/3/1991,Rüdiger Lang,Germany,Exposure,"27.9882° N, 86.9254° E",1
10/7/1990,Ham Sang-hun,South Korea,Disappearance,"27.9882° N, 86.9254° E",1
9/14/1990,Badri Nath,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/14/1990,Ang Sona,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/14/1990,Rafael Gómez-Menor,Spain,Avalanche,"27.9882° N, 86.9254° E",1
12/12/1989,Ang Pinjo,Nepal,Altitude sickness,"27.9882° N, 86.9254° E",1
5/28/1989,Eugeniusz Chrobak,Poland,Avalanche,"27.9882° N, 86.9254° E",1
5/27/1989,Wacław Otręba,Poland,Avalanche,"27.9882° N, 86.9254° E",1
5/27/1989,Andrzej Heinrich,Poland,Avalanche,"27.9882° N, 86.9254° E",1
5/27/1989,Mirosław Gardzielewski,Poland,Avalanche,"27.9882° N, 86.9254° E",1
5/27/1989,Mirosław Dąsal,Poland,Avalanche,"27.9882° N, 86.9254° E",1
5/16/1989,Phu Dorje,Nepal,Fall,"27.9882° N, 86.9254° E",1
5/10/1989,Dimitar Ilievski-Murato,Yugoslavia,Fall,"27.9882° N, 86.9254° E",1
12/23/1988,Ang Lhakpa,Nepal,Cerebral thrombosis,"27.9882° N, 86.9254° E",1
